"Airport","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"Okayama","1,626,490","731,306","744,694","3,111,652","3,193,681","3,064,037","2,897,010","2,793,596","2,702,719","2,717,860","2,680,544","2,506,941","2,651,740","2,630,902","2,863,786","3,059,191","3,196,005","3,163,660","3,172,255"
"Oki","118,633","67,838","60,477","127,597","124,115","120,750","117,088","116,919","109,378","108,687","106,702","101,415","103,571","97,471","96,797","100,205","108,096","90,196","89,351"
"Okinoerabu","196,720","160,208","138,075","235,382","228,586","201,924","197,670","199,113","184,765","169,054","167,396","163,027","162,076","173,696","172,431","175,018","181,523","184,327","177,764"
"Okushiri","24,334","19,463","15,766","23,451","18,849","22,149","20,580","21,516","21,581","20,391","18,268","17,004","19,595","20,278","20,884","21,380","24,091","23,443","26,439"
"Osaka Itami","24,518,089","14,269,435","13,484,719","32,269,238","32,484,165","31,275,138","30,024,073","29,168,669","29,147,509","27,925,161","26,365,816","25,685,462","28,981,820","29,169,802","31,015,208","32,176,343","33,893,308","37,467,327","38,800,606"
"Osaka Kansai","19,428,291","6,698,003","8,789,949","60,470,834","58,167,883","56,597,265","50,743,799","47,108,742","39,149,803","35,634,358","32,526,627","26,980,485","28,258,750","26,708,728","30,853,228","32,902,375","32,801,783","32,707,052","30,452,538"
"Oshima","46,838","33,697","30,704","48,671","51,689","53,296","53,910","72,510","81,412","75,898","70,649","69,731","74,619","104,526","143,202","209,582","193,217","166,198","154,827"
"Rebun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","974","0"
"Rishiri","93,164","58,642","47,854","89,560","90,073","91,826","84,372","76,373","74,727","74,477","62,195","49,376","55,215","60,739","59,934","54,481","61,506","71,489","75,298"
"Sado","0","0","0","0","0","0","172","124","0","1,151","9,846","7,211","0","0","7,863","25,853","20,868","19,865","21,566"
"Saga","637,069","262,627","343,580","1,544,058","1,560,449","1,484,230","1,300,379","1,263,557","1,047,086","727,592","692,408","601,524","679,048","634,187","589,233","575,154","596,502","537,666","561,573"
"Sapporo","608,221","391,183","334,074","544,887","529,160","502,063","419,617","355,523","347,391","311,373","268,186","245,533","360,438","654,529","710,081","740,557","758,424","746,039","753,589"
"Sapporo New Chitose","33,104,076","17,462,708","15,736,306","47,414,213","46,947,599","45,810,901","42,856,950","41,300,595","38,801,493","37,618,493","35,140,532","31,863,978","33,200,840","33,124,288","34,960,105","36,605,617","36,928,985","35,609,752","35,305,379"
"Sendai","5,323,915","3,149,147","2,839,038","7,573,567","7,192,413","6,809,732","6,272,960","6,266,817","6,452,907","6,240,248","5,366,112","3,563,065","5,448,564","5,597,547","5,996,322","6,673,209","6,723,777","6,476,910","6,445,251"
"Shimojishima","687,392","424,718","225,774","235,405","809","3","38","21","0","0","0","0","141","1,865","0","658","0","0","0"
"Shin-Ishigaki","4,579,448","2,715,393","2,650,245","5,186,943","5,147,605","5,003,057","4,852,894","4,623,596","4,645,929","4,254,817","3,306,665","3,063,699","3,345,935","3,483,849","3,710,373","3,792,054","3,935,914","3,758,388","3,578,158"
"Shizuoka","691,274","362,290","346,151","1,557,749","1,444,656","1,353,866","1,238,370","1,397,441","1,054,168","922,461","887,572","842,277","1,147,921","892,250","0","0","0","0","0"
"Shonai","505,027","227,340","231,154","872,435","799,845","792,540","773,706","732,659","737,315","707,281","704,478","709,125","714,126","682,185","796,575","834,535","857,875","817,571","845,841"
"Tajima","57,194","39,808","36,613","82,664","80,472","64,267","61,589","57,994","57,674","57,136","51,003","54,009","56,417","55,871","57,523","52,451","55,809","53,538","55,238"
"Takamatsu","2,529,620","1,212,674","1,131,793","4,173,168","4,134,899","3,994,156","3,728,311","3,616,240","3,486,835","3,090,678","2,834,922","2,611,261","2,807,756","2,740,363","2,949,177","3,024,231","3,033,441","2,956,324","3,004,321"
"Tanegashima","171,673","109,241","94,920","175,475","183,427","168,305","154,147","148,747","156,716","144,020","145,471","140,772","154,280","170,113","175,092","194,240","230,701","237,196","266,014"
"Tarama","73,961","54,736","55,099","91,139","89,000","89,374","74,719","72,924","73,119","67,304","62,778","65,509","58,799","56,838","60,360","63,174","66,958","70,995","73,496"
"Teshikaga","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tokunoshima","358,292","286,157","232,829","409,563","393,696","347,044","340,354","338,558","316,845","305,824","300,799","300,830","299,252","289,279","294,851","321,390","322,077","326,145","322,337"
"Tokushima","1,559,894","741,504","680,096","2,357,809","2,342,214","2,240,643","2,130,254","2,007,748","2,025,511","1,923,853","1,777,114","1,551,822","1,604,339","1,514,080","1,647,701","1,728,741","1,757,757","1,909,299","1,917,116"
"Tokyo Haneda","110,299,818","56,260,414","53,123,153","169,626,123","171,486,080","167,505,062","159,514,506","152,212,142","147,821,028","138,487,407","134,184,427","126,772,257","127,837,495","124,025,569","132,302,671","133,725,224","132,972,406","126,899,284","124,777,465"
"Tokyo Narita","32,405,871","10,672,017","12,808,962","81,955,197","81,913,877","77,593,900","73,828,816","70,107,207","65,526,609","65,590,714","60,604,507","51,501,018","60,388,975","58,331,953","60,003,525","64,573,979","63,752,071","62,663,001","62,479,593"
"Tottori","527,984","251,018","235,055","814,149","814,044","804,102","750,490","736,346","678,568","655,637","600,184","554,802","603,011","590,368","620,582","660,622","679,825","671,568","703,962"
"Toyama","465,724","181,222","215,123","1,120,405","1,136,193","1,138,622","1,153,964","1,411,582","1,981,072","1,928,897","1,886,653","1,757,972","1,886,281","1,889,677","2,277,549","2,493,064","2,592,615","2,716,788","2,772,309"
"Tsushima","444,797","335,622","336,918","512,143","518,194","491,694","464,718","497,335","519,517","518,273","509,664","520,814","527,005","541,190","556,585","578,896","592,472","628,414","661,301"
"Wakkanai","305,727","157,844","126,042","400,296","394,858","398,197","382,746","367,848","363,971","355,985","351,512","338,768","340,081","349,350","391,161","443,058","461,723","474,158","506,950"
"Yakushima","363,455","243,407","202,360","294,787","352,887","369,707","338,598","329,594","351,450","328,425","316,025","290,115","306,041","304,714","312,445","305,943","335,375","351,694","364,933"
"Yamagata","563,893","296,081","218,165","721,920","688,541","622,226","528,133","453,513","396,890","238,600","237,291","408,418","345,504","356,956","383,370","408,133","396,592","417,780","425,925"
"Yamaguchi Ube","1,312,602","693,489","635,470","1,993,129","2,082,726","2,018,742","1,910,989","1,841,003","1,746,629","1,694,144","1,687,854","1,509,221","1,575,580","1,563,873","1,729,876","1,791,105","1,816,724","1,860,382","1,851,122"
"Yao","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yonago","740,414","370,251","357,398","1,330,846","1,368,170","1,317,386","1,241,174","1,302,305","1,724,288","1,216,062","936,422","846,205","919,072","880,621","970,460","999,260","994,101","954,644","946,541"
"Yonaguni","177,041","131,412","135,656","206,025","205,037","208,791","202,087","191,378","163,788","147,470","140,130","150,600","149,005","151,924","159,815","159,717","162,976","156,631","154,330"
"Yoron","145,918","112,553","80,455","153,711","162,594","177,763","170,521","156,754","133,835","132,581","123,711","118,893","121,887","123,070","134,851","130,604","130,249","135,835","139,685"
