,Country,Year,Expenditure_per_Visitor
1622,NEPAL,2010,525.4901960784314
1623,NEPAL,2011,413.43669250645996
1624,NEPAL,2012,479.1183294663573
1625,NEPAL,2013,429.29806714140386
1626,NEPAL,2017,654.1353383458646
1627,NETHERLANDS,1995,948.103630309429
1628,NETHERLANDS,1996,958.5382993675333
1629,NETHERLANDS,1997,873.1529009177166
1630,NETHERLANDS,1998,885.7817457389508
1631,NETHERLANDS,1999,848.0682459108855
1632,NETHERLANDS,2000,877.3028209556707
1633,NETHERLANDS,2001,843.81595609962
1634,NETHERLANDS,2002,776.1229738620731
1635,NETHERLANDS,2003,929.3759512937595
1636,NETHERLANDS,2004,954.3490951546994
1637,NETHERLANDS,2005,805.4463290099184
1638,NETHERLANDS,2006,873.7945492662474
1639,NETHERLANDS,2007,985.9613079952063
1640,NETHERLANDS,2008,1076.417196586771
1641,NETHERLANDS,2009,1015.7033805888768
1642,NETHERLANDS,2010,1036.8031358885016
1643,NETHERLANDS,2011,1117.510775862069
1644,NETHERLANDS,2012,1061.735022546704
1645,NETHERLANDS,2013,1143.9151099812093
1646,NETHERLANDS,2014,1176.483712628291
1647,NETHERLANDS,2015,1028.685486170516
1648,NETHERLANDS,2016,986.9435874834729
1649,NETHERLANDS,2017,962.5294995906179
1650,NETHERLANDS,2018,995.1384586054049
1651,NETHERLANDS,2019,928.691313222953
1652,NETHERLANDS,2020,959.8278335724534
1653,NETHERLANDS,2021,910.8697526075339
1654,NETHERLANDS,2022,808.6494426682796
1670,NEW ZEALAND,1995,1368.4782608695652
1671,NEW ZEALAND,1996,1341.262580054895
1672,NEW ZEALAND,1997,1290.636042402827
1673,NEW ZEALAND,1998,1186.106346483705
1674,NEW ZEALAND,1999,1206.7510548523207
1675,NEW ZEALAND,2000,962.5876851130164
1676,NEW ZEALAND,2001,975.1359751359752
1677,NEW ZEALAND,2002,1071.9257540603248
1678,NEW ZEALAND,2003,1200.145560407569
1679,NEW ZEALAND,2004,1286.2088863242932
1680,NEW ZEALAND,2005,1426.8162393162393
1681,NEW ZEALAND,2006,1362.1708758731866
1682,NEW ZEALAND,2007,1555.6117290192112
1683,NEW ZEALAND,2008,1528.2155566853075
1684,NEW ZEALAND,2009,1345.1511991657976
1685,NEW ZEALAND,2010,1500.0
1686,NEW ZEALAND,2011,1651.2404580152672
1687,NEW ZEALAND,2012,1710.4051565377533
1688,NEW ZEALAND,2013,1757.396449704142
1689,NEW ZEALAND,2014,1804.920913884007
1690,NEW ZEALAND,2015,1542.7031509121061
1691,NEW ZEALAND,2016,1535.810034469552
1692,NEW ZEALAND,2017,1564.3182614791447
1693,NEW ZEALAND,2018,1515.1415404871625
1694,NEW ZEALAND,2019,1331.1627906976744
1695,NEW ZEALAND,2020,2835.6164383561645
1697,NEW ZEALAND,2022,1575.8133824432166
1705,NICARAGUA,2002,129.69924812030075
1706,NICARAGUA,2003,133.45195729537366
1707,NICARAGUA,2004,126.96148359486448
1708,NICARAGUA,2005,122.97297297297297
